no,id,title,type,platform,friend_id,country,region,sent_date,received_date,tags,url,friend_url
,DE-10231372,,MATCH,POSTCROSSING,reiselustig,Germany,,7/Mar/2021,8/Apr/2021,,https://www.postcrossing.com/postcards/DE-10231372,https://www.postcrossing.com/user/reiselustig
,MX-57686,,MATCH,POSTCROSSING,EmanuelZurdob,Mexico,,11/Nov/2020,8/Apr/2021,,https://www.postcrossing.com/postcards/MX-57686,https://www.postcrossing.com/user/EmanuelZurdob
,FR-1378577,,MATCH,POSTCROSSING,_Emmanuelle_,France,,7/Mar/2021,8/Apr/2021,,https://www.postcrossing.com/postcards/FR-1378577,https://www.postcrossing.com/user/_Emmanuelle_
,US-7425887,,MATCH,POSTCROSSING,saramthomps,U.S.A.,,20/Mar/2021,9/Apr/2021,,https://www.postcrossing.com/postcards/US-7425887,https://www.postcrossing.com/user/saramthomps
,US-7391071,,MATCH,POSTCROSSING,SarahJayn,U.S.A.,,6/Mar/2021,9/Apr/2021,,https://www.postcrossing.com/postcards/US-7391071,https://www.postcrossing.com/user/SarahJayn
,CNTM43324,美丽人生,活动,icardyou,阿鱼,China,北京,4/1/2021 22:07,4/10/2021 7:41,电影,https://icardyou.icu/sendpostcard/postcardDetail/1131386,https://icardyou.icu/userInfo/homePage?userId=36638
,CNTM43229,诗三百·於我归期,活动,icardyou,静百x,China,上海,3/27/2021 12:49,4/17/2021 8:16,盒片,https://icardyou.icu/sendpostcard/postcardDetail/1130904,https://icardyou.icu/userInfo/homePage?userId=38772
,FI-3895763,,MATCH,POSTCROSSING,TanjaR,Finland,,6/Mar/2021,19/Apr/2021,,https://www.postcrossing.com/postcards/FI-3895763,https://www.postcrossing.com/user/TanjaR
,HU-189703,,MATCH,POSTCROSSING,rubikkocka,Hungary,,6/Mar/2021,19/Apr/2021,,https://www.postcrossing.com/postcards/HU-189703,https://www.postcrossing.com/user/rubikkocka
,RU-8390984,,MATCH,POSTCROSSING,Nata_DV,Russia,,20/Mar/2021,19/Apr/2021,,https://www.postcrossing.com/postcards/RU-8390984,https://www.postcrossing.com/user/Nata_DV
